Job Title,City,Pay,PayUnit
Mechanical Engineering Design Technologist,"Québec, QC",to be discussed,
Labourer - Metal Fabrication,"Melbourne, QC",16.73,HOUR
Food Service Supervisor,"2 County Crt BlvdBrampton, ONL6W 3X9",16.00,HOUR
"Driver, Dump Truck","Brampton, ON",21.50,HOUR
Computer Engineer,"Saint-Bruno-de-Montarville, QC",to be discussed,
"Truck Driver, Long Haul","Hamilton, ON",24.50,HOUR
Commercial Foodservice Appliance Technician,"Toronto, ON",20.00,HOUR
Food Service Helper,"Matane, QC",to be discussed,
Light Duty Cleaners,"Île-à-la-Crosse, SK",18.52,HOUR
Office Manager,"9130 34A Ave NWEdmonton, ABT6E 5P4",26.00,HOUR
Day Camp Leader,"Saint-Fulgence, QC",15.00,HOUR
Building Construction Estimator,"Saint-Georges, QC",to be discussed,
Recreation Leader,"Laterrière, QC",to be discussed,
"Vice-president - Goods Production, Utilities, Transportation And Construction","North York, ON",58.00,HOUR
Muskeg Tractor Operator,"Kent Junction, NB",Not available,
Customer Information Service Clerk - Insurance,"Brossard, QC",to be discussed,
Mechanical Engineering Technician,"Montréal, QC",Not available,
Asphalt Spreader Operator,"Moncton, NB",18.00,HOUR
Food Runner,"Vancouver, BC",15.00,HOUR
Restaurant Manager,"Sherbrooke, QC",Not available,
Plasterer,"10335 Keele St., (Keele St./Major Mackenzie)Maple, ONL6A 3Y9",22.00,HOUR
Disaster Restoration Technician,"Victoria, BC",20.00,HOUR
"Director, Organizational Planning And Development","Coquitlam, BC",34.00,HOUR
Guest Service Agent,"Sooke, BC",Not available,
Food-processing Equipment Cleaner,"Saint-Léonard, QC",18.97,HOUR
Cook,"170 Rimrock RoadNorth York, ONM3J 3A6",15.00,HOUR
Web Developer,"Unionville, ON",37.00,HOUR
Financial Manager,"Halifax, NS",Not available,
Roofer,"Kemble, ON",28.10,HOUR
RMT (registered Massage Therapist),"B7-4227 Sheppard Ave East suite B7Scarborough, ONM1S 5H5",60% per sale,
Stacker - Wood Processing,"Saint-Armand, QC",to be discussed,
Systems Architect,"Montréal, QC",Not available,
Concrete Finisher,"Calgary, AB",30.00,HOUR
Food Service Supervisor,"9612 Franklin Ave, suite 306Fort McMurray, ABT9H 2J9",17.50,HOUR
Electrical Mechanic,"Saint-Évariste-de-Forsyth, QC",20.75,HOUR
Bookkeeper,"12839 58 ST NWEdmonton, ABT5A 4X1",29.00,HOUR
Software Architect,"Québec, QC",Not available,
Shingle Sawyer,"Saint-Théophile, QC",19.00,HOUR
Construction Equipment Sales Representative,"Pointe-Claire, QC",to be discussed,
Forklift Operator,"Surrey, BC",19.00,HOUR
RCMP Support Positions For Nunavut Inuit,"Iqaluit, NU","50,821",YEAR
Fence Installer,"Sherkston, ON",20.00,HOUR
Masker,"Gatineau, QC",14.00,HOUR
Electronic Service Technician Apprentice,"Québec, QC","35,800",YEAR
Financial Services Representative,"Saint John, NB",Not available,
Dental Hygienist,"Québec, QC",to be discussed,
"Helper, Millwright","Chemainus, BC",Not available,
Painter,"Vancouver, BC",22.00,HOUR
Ethnic Food Cook,"Gibsons, BC",23.10,HOUR
Assistant Department Manager - Retail,"Saint-Laurent, QC",Not available,
Digital Effects Specialist,"Dartmouth, NS",Not available,
Cleaning Supervisor,"8155 North Fraser WayBurnaby, BCV5J 5M8",26.92,HOUR
Transportation Logistics Co-ordinator,"Mississauga, ON",25.00,HOUR
Front Desk Hotel Clerk,"O'Leary, PE",13.00,HOUR
Civil Engineering Technician,"Québec, QC",Not available,
"Machine Operator, Woodworking","Saint-Côme-Linière, QC",18.51,HOUR
Delivery Driver,"Matane, QC",to be discussed,
Asphalt Shingle Roofer,"Sherbrooke, QC",20.00,HOUR
Administrative Assistant,"Surrey, BC",25.00,HOUR
CA (chartered Accountant),"Drummondville, QC",to be discussed,
Factory Maintenance Man/woman,"Saint-Augustin-de-Desmaures, QC",Not available,
Maintenance Mechanic,"14160 Cure-LabelleMirabel, QCJ7J 1L6",15.00,HOUR
Personal Care Provider - Home Care,"Montréal-Nord, QC",13.10,HOUR
Cook's Helper,"Montmagny, QC",to be discussed,
Baker,"55 Castleridge Blvd NE suite 84Calgary, ABT3J 3J8",16.00,HOUR
Systems Specialist - Computer Systems,"297 Nelson Street WestVirden, MBR0M 2C0","50,000",YEAR
Store Clerk,"Melfort, SK",Not available,
Grocery Clerk,"Val-d'Or, QC",Not available,
Electrical Mechanic,"Acton Vale, QC",22.00,HOUR
Administrative Assistant,"Surrey, BC",25.00,HOUR
Residential And Commercial Installers And Servicers,"Saskatoon, SK",TBD,
Cook,"140 CENTENNIAL  PKY NHamilton, ONL8E 1H9",16.00,HOUR
Technical Assistant - Office Support,"Saint-Lin-Laurentides, QC",13.50,HOUR
"Driver, Truck","Sainte-Victoire-de-Sorel, QC",to be discussed,
Manager - Retail Store Chain,"Surrey, BC",32.00,HOUR
"Host/hostess, Food Service","Abbotsford, BC",14.60,HOUR
"University Professor, Engineering","200 University Ave., W., Waterloo, ONN2L 3G1","120,000",YEAR
Transport Truck Mechanic,"Surrey, BC",28.00,HOUR
Office Administration Clerk,"Les Coteaux, QC",to be discussed,
Office Administrator,"Saskatoon, SK",Not available,
Food Service Supervisor,"Edmonton, AB",16.50,HOUR
Administrative Assistant,"Indian Head, SK",25.00,HOUR
Store Manager - Retail,"Markham, ON",Not available,
Labourer - Food And Beverage Processing,"Knowlton, QC",14.75,HOUR
Census Enumerator,"Heisler, AB",17.83,HOUR
Cook,"Cochrane, AB",16.00,HOUR
Elemental Worker - Packaging,"Saint-Jean-sur-Richelieu, QC",14.50,HOUR
Certified Dental Assistant,"Richmond, BC",20.00,HOUR
Aluminum Door And Window Installer,"Jonquière, QC",15.00,HOUR
"Manager, Restaurant","Greenwood, NS",18.00,HOUR
Roofer,"Surrey, BC",27.00,HOUR
Sales Executive - Wholesale (non-technical),"Saint-Hyacinthe, QC",to be discussed,
Child Caregiver - Private Home,"Sherwood Park, AB",16.00,HOUR
Welding Technologist,"Dundas, ON",Not available,
Managing Supervisor - Retail,"North Battleford, SK",Not available,
Camp Co-ordinator,"Vancouver, BC",21.00,HOUR
Information Systems Business Analyst,"Québec, QC",Not available,
Sales Consultant - Retail,"Saint-Urbain-de-Charlevoix, QC",to be discussed,
Dock Hand,"Bathurst, NB",Not available,
Administration Officer,"Québec, QC",20.20,HOUR
"Project Manager, Interior Design","Halifax, NS",Not available,
Harvesting Labourer,"Cobourg, ON",14.39,HOUR
Liquor Store Supervisor,"6011 50 Street Warburg, ABT0C 2T0",21.15,HOUR
Field-grown Crop Workers Foreman/woman,"Miramichi, NB",Not available,
Cook,"92 Queen StreetCharlottetown, PEC1A 4B1",15.00,HOUR
Car Dealership Manager,"530 MACKENZIE BLVDFort McMurray, ABT9H 4C8",60.00,HOUR
"Machinist, CNC (computer Numerical Control)","Saint-Valérien-de-Milton, QC",to be discussed,
Blending Machine Operator - Oil Field Services,"Longueuil, QC",17.00,HOUR
Rendering Plant Worker Foreman/woman,"Boucherville, QC",Not available,
Geological Technician,"Rouyn-Noranda, QC",Not available,
Server - Food And Beverage Services,"Vancouver, BC",14.27,HOUR
Mechanical Engineer,"Valcourt, QC",Not available,
Elevator Constructor Helper,"Calgary, AB",22.00,HOUR
Merchandiser,"Laval, QC",16.05,HOUR
Parts Counter Clerk - Retail,"Sainte-Agathe-Nord, QC",to be discussed,
Web Developer,"Québec, QC",Not available,
Warehouse Shipping Clerk,"Saint-Hyacinthe, QC",to be discussed,
Funeral Director,"927 Purdy's Mill Rd.Kingston, ONK7M 3N1","40,000",YEAR
Shoe Repairer,"Peterborough, ON","35,000",YEAR
Mental Health Nurse,"Vancouver, BC",35.53,HOUR
Farm Worker,"2296 240 StreetLangley, BCV2Z 3A4",17.00,HOUR
Information Systems Business Analyst,"Montréal, QC",Not available,
Press Operator - Printing,"Saint-Hubert, QC","40,352.00",HOUR
Customer Service Agent,"Laval, QC",to be discussed,
Vinyl Lettering Artist,"La Sarre, QC",to be discussed,
Census Enumerator,"Cumberland Bay, NB",17.83,HOUR
Human Resources Adviser,"Scott, QC",Not available,
Office Assistant,"Vancouver, BC",Not available,
Composite Technician - Boat Assembly,"London, ON",17.00,HOUR
Storage Worker - Material Handling,"Saint-Laurent, QC",to be discussed,
Optometrist Assistant,"Brossard, QC",to be discussed,
Electrical Mechanic,"Trois-Rivières, QC",20.00,HOUR
Marketing Co-ordinator,"Concord, ON","60,000",YEAR
Tile Installer,"6810 50 St NWEdmonton, ABT6B 3M9",28.00,HOUR
"Delivery Driver, Fast Food","Victoriaville, QC",Not available,
Collection Clerk,"2380 Lawrence Ave EScarborough, ONM1P 2R5",15.00,HOUR
Labourer - Metal Fabrication,"Laval, QC",17.00,HOUR
Pest Control Technician,"Gatineau, QC",18.00,HOUR
Statistical Officers And Related Research Support Occupations,"Hendon, SK",17.83,HOUR
Buyer - Purchasing,"Ayer's Cliff, QC",to be discussed,
Home Child Care Provider,"Burnaby, BC",14.60,HOUR
Daycare Teacher,"Brossard, QC",to be discussed,
Electrician,"Vancouver, BC",33.88,HOUR
Optician,"Saint-Eustache, QC",24.00,HOUR
Administrative Assistant,"Calgary, AB",26.50,HOUR
Machine Sander - Woodworking,"Richelieu, QC",to be discussed,
Line Cook,"Field, BC",17.00,HOUR
Waiter/waitress,"Blainville, QC",to be discussed,
Cabinet Assembler - Wood Products Manufacturing,"Repentigny, QC",16.25,HOUR
Shift Manager - Fast Food Restaurant,"156 The QueenswayEtobicoke, ONM8Y 1J2",15.00,HOUR
"Carpenter, Concrete Forms","Coquitlam, BC",28.00,HOUR
QA (quality Assurance) Analyst - Informatics,"Montréal, QC",to be discussed,
Area Sales Manager,"118 15th Street WNorth Vancouver, BCV7M 1R5",51.00,HOUR
Cook,"Port Coquitlam, BC",17.50,HOUR
Land Surveyor,"Beauceville, QC",to be discussed,
"Developer, Software","Waterdown, ON","60,000",YEAR
Food Service Supervisor,"Redcliff, AB",15.00,HOUR
Building Supplies Salesperson - Retail,"Saint-Basile-le-Grand, QC",to be discussed,
Retail Store Supervisor,"Courtenay, BC",14.89,HOUR
Day Camp Leader,"Rimouski, QC",14.14,HOUR
Design Draftsperson,"Laterrière, QC",to be discussed,
Accounting Technician,"Lévis, QC",Not available,
Personal Care Attendant - Home Care,"Burnaby, BC",20.00,HOUR
"Cashier, Supermarket","Oakville, ON",14.25,HOUR
Recreation Technician,"Sainte-Marie, QC",22.23,HOUR
Census Enumerator,"Sachs Harbour, NT",21.77,HOUR
Tile Installer,"North York, ON",22.00,HOUR
"Supervisor, Food Services","North Battleford, SK",15.00,HOUR
Housekeeping Room Attendant,"Trois-Rivières, QC",to be discussed,
Construction Project Manager,"Trois-Rivières, QC",Not available,
"Mechanic, Refrigeration","Longueuil, QC",to be discussed,
Restaurant Counter Attendant,"Québec, QC",Not available,
Drugstore Clerk,"Québec, QC",to be discussed,
Hydrogeological Engineer - Engineering,"Vancouver, BC","100,000",YEAR
Glazier,"20716 Willoughby Town Centre DriveLangley, BCV2Y 3J8",26.00,HOUR
Graphic Designer,"7728, 128TH STREETSurrey, BCV3W 1L3",28.00,HOUR
Family Caregiver,"Stewart, BC",18.25,HOUR
Accounting Clerk,"Boucherville, QC",Not available,
Fast-food Preparer,"Bois-des-Filion, QC",Not available,
Transport Truck Mechanic,"Saint-Quentin, NB",15.00,HOUR
Shipping And Receiving Clerk,"Montmagny, QC",to be discussed,
Waiter/waitress,"Québec, QC",14.93,HOUR
Food Service Supervisor,"1320 Island Hwy #90Campbell River, BCV9W 8C9",16.00,HOUR
Security Services Sales Representative,"Saint-Basile-le-Grand, QC",500,WEEKLY
Electronic Equipment Maintenance Technician,"Montréal, QC",to be discussed,
Accounts Receivable Clerk,"Bradford, ON",16.50,HOUR
"Manager, Information Systems","Montréal, QC",Not available,
Delivery Driver,"Longueuil, QC",18.00,HOUR
Automotive Service Technician,"Winnipeg, MB",22.00,HOUR
"Officer, Occupational Health And Safety","701-10 Fort William PlaceSt. John's, NLA1C 1K4",46.18,HOUR
Child Care Provider - Private Home,"Hampstead, QC",524,WEEKLY
High School Teacher,"Saint-Eustache, QC",to be discussed,
Labourer - Textile Processing,"Louiseville, QC",to be discussed,
Food Service Supervisor,"1560 Lasalle Blvd suite Unit ESudbury, ONP3A 1Z7",16.00,HOUR
Administrative Assistant,"Sherbrooke, QC",Not available,
Administrative Manager,"Surrey, BC",32.00,HOUR
"Technician, Telecommunications","Maria, QC",to be discussed,
Truck Drivers Supervisor,"13508 163 Street NWEdmonton, ABT5V 0B2",32.00,HOUR
Computer Projects Manager,"Montréal, QC",Not available,
Warehouse Shipping Clerk,"Sherbrooke, QC",16.00,HOUR
Truck Owner Operator,"Ajax, ON","8,000",MONTH
"Machine Operator Helper, Plastic Products Manufacturing","Saint-Augustin-de-Desmaures, QC",to be discussed,
Shipping Co-ordinator,"511 Chrislea RoadWoodbridge, ONL4L 8N6",25.00,HOUR
"Produce Clerk, Supermarket","Pointe-aux-Trembles, QC",to be discussed,
"Consultant, Fashion And Wardrobe","Gatineau, QC",to be discussed,
Parts Clerk,"Montmagny, QC",to be discussed,
Apprentice Cook,"2250 Dewdney Trunk Road suite 100Maple Ridge, BCV2X 3J9",15.20,HOUR
Customer Service Cashier,"Saint-Constant, QC",Not available,
Accounting Bookkeeper,"Québec, QC",to be discussed,
Sales Consultant - Retail,"Gatineau, QC",13.10,HOUR
Ethnic Food Cook,"Penticton, BC",14.75,HOUR
Assistant Manager - Retail,"9169 25 Avenue NWEdmonton, ABT6N 0A5",39.25,HOUR
Carpenter,"Concord, ON",29.00,HOUR
Hotel Receptionist,"Saint-Paulin, QC",to be discussed,
Carpenter,"7518 115A StreetDelta, BCV4C 5P8",28.00,HOUR
Office Administrator,"Unit # 14, 4852 50 AVE NE Calgary, ABT3J 4L8",28.84,HOUR
Personal Support Worker - Home Support,"Ottawa, ON",15.00,HOUR
Regional Development Officer,"Terrebonne, QC",800,WEEKLY
Jewellery Repairer,"6526 Main St.Vancouver, BCV5X 3G9",20.00,HOUR
Bookkeeper,"7 Railway AvenueSanford, MBR0G 2J0",23.50,HOUR
Electrician,"Québec, QC",to be discussed,
Grocery Clerk,"Granby, QC",to be discussed,
Tool And Equipment Rental Clerk,"Sept-Îles, QC",17.08,HOUR
"Driver, Tow Truck","Cap-aux-Meules, QC",18.00,HOUR
Landscape Worker,"Montréal-Nord, QC",14.00,HOUR
Nanny,"North York, ON",15.00,HOUR
Customer Service Adviser,"Rouyn-Noranda, QC",to be discussed,
"Finisher, Concrete","Brampton, ON",30.00,HOUR
"Helper, Small-engine Mechanic","Notre-Dame-de-l'Île-Perrot, QC",to be discussed,
Journeyman/woman Roofer,"Penticton, BC",Not available,
"Technician, Agricultural Engineering","Kemptville, ON",Not available,
Front Desk Agent,"46 Memory LaneHunter River, PEC0A 1N0",15.00,HOUR
Marketing Specialist - Advertising,"2288 No.5 RoadRichmond, BCV6X 2T1",29.00,HOUR
Daycare Attendant,"Richmond, BC",17.75,HOUR
Pharmacist,"Esterhazy, SK",Not available,
Personal Banking Representative,"Saint-Hilaire-Est, QC",Not available,
Cook,"11361 Jasper Avenue, NWEdmonton, ABT5K 0L9",15.50,HOUR
Web Developer,"314 W.CordovaVancouver, BCV6B 1E8",28.00,HOUR
Charter Boat Captain,"Haliburton, ON",20.00,HOUR
Food Assembly Supervisor,"Québec, QC",24.00,HOUR
Electrical Engineer,"Saint-Félicien, QC",Not available,
"Salesperson, Hardware - Retail","Oshawa, ON",Not available,
Financial Controller,"Saguenay, QC",Not available,
Nurse,"Vancouver, BC",35.53,HOUR
Pastry Maker,"Port Coquitlam, BC",16.00,HOUR
Sushi Chef,"Rawdon, QC",to be discussed,
Housekeeping Room Attendant,"Duncan, BC",16.81,HOUR
Truck Driver,"Lachine, QC","1,300",WEEKLY
Sales Clerk,"Chicoutimi, QC",to be discussed,
Store Manager - Retail,"Orillia, ON",38.50,HOUR
Labourer - Metal Fabrication,"Saint-Marc-des-Carrières, QC",to be discussed,
Electrician,"Toronto, ON",Not available,
Flexographic Pressman/woman - Printing,"Delta, BC",23.00,HOUR
Respiratory Therapist,"Beloeil, QC",Not available,
Sales Assistant,"Salaberry-de-Valleyfield, QC",to be discussed,
Web Programmer,"Sainte-Justine, QC",Not available,
Industrial Warehouse Person,"Boisbriand, QC",to be discussed,
"Equipment Operator, Heavy-duty","Dorval, QC",to be discussed,
Administrative Assistant,"Richmond Hill, ON",Not available,
Visitor Services Facilities Attendant,"Tobermory, ON",19.83,HOUR
Receptionist-secretary,"Québec, QC",to be discussed,
Food Service Supervisor,"101-8383 128 StSurrey, BCV3W 4G1",15.50,HOUR
Storage Worker - Material Handling,"L'Ange-Gardien, QC",16.00,HOUR
Licensed Practical Nurse (L.P.N.),"603 Prospect Drive SWMedicine Hat, ABT1A 4C2",30.00,HOUR
Administrative Officer,"406-130 Dundas St. East Mississauga, ONL5A 3V8",25.00,HOUR
Executive Assistant,"Toronto, ON",Not available,
Sales And Promotions Co-ordinator,"Salaberry-de-Valleyfield, QC",to be discussed,
Administrative Assistant,"Unit 202, 8338 120 streetSurrey, BCV3W 3N4",24.00,HOUR
Sales Associate,"Waterloo, ON",Not available,
Cabinetmaker,"Plessisville, QC",16.00,HOUR
"Manager, Distribution Centre","Drummondville, QC",to be discussed,
Accounting Technician,"Concord, ON",24.10,HOUR
Service Writer - Auto Repair,"Weyburn, SK",Not available,
Machinist,"Sudbury, ON",25.00,HOUR
Financial Controller,"Baie-d'Urfé, QC",Not available,
Cook,"16 Burns RdWhitehorse, YTY1A 4Y9",20.00,HOUR
"Driver, Truck","Laurier-Station, QC",to be discussed,
Renovation Carpenter,"Newmarket, ON",25.00,HOUR
Nursing Assistant (registered - Québec),"Lévis, QC",30.00,HOUR
Chemical Process Engineer,"Sherbrooke, QC",to be discussed,
Farm Labourer,"Saint-Lin-Laurentides, QC",13.50,HOUR
"Developer, Software","Aurora, ON",Not available,
Payroll Administrator,"Saint John, NB",20.30,HOUR
Recruitment Specialist,"Dorval, QC",to be discussed,
Service Advisor - Auto Repair,"Dorval, QC",Not available,
Sales Representative - Wholesale (non-technical),"Hamilton, ON","75,281.52",YEAR
Elementary School And Kindergarten Teachers,"Surrey, BC",25.00,HOUR
Nurse,"Saint-Joseph-de-Beauce, QC",24.08,HOUR
Welder,"Saint-Nicolas, QC",to be discussed,
Food Technologist,"Richmond, BC",25.00,HOUR
Administrative Co-ordinator,"Burlington, ON","32,000",YEAR
Architectural Draftsperson,"North York, ON","35,000",YEAR
Greenhouse Worker,"56 Crabbe RoadNorthampton, NBE7N 1R6",11.70,HOUR
"Assistant Manager, Restaurant","Oliver, BC",27.00,HOUR
Merchandiser,"Pembroke, ON",16.85,HOUR
Census Enumerator,"Alliance, AB",17.83,HOUR
Cleaning Supervisor,"8125 N. Fraser WayBurnaby, BCV5J 5M8",21.50,HOUR
Cashiers,"Surrey, BC",14.60,HOUR
Office Administrator,"718 Eaton Way, Annacis IslandDelta, BCV3M 6J9",25.00,HOUR
Food Service Supervisor,"1103 ROBSON STVancouver, BCV6E 1B5",15.00,HOUR
Logistics Supervisor - Transportation,"Abbotsford, BC",23.75,HOUR
"Park Planner, Municipal","Victoria, BC",$50.06 hourly,
Restaurant Cook,"Gaspé, QC",to be discussed,
Child Caregiver - Private Home,"42 BORRELLI DR Brampton, ONL6Y 5W9",15.50,HOUR
Daycare Teacher,"Québec, QC",to be discussed,
Heavy Equipment Mechanic,"Fort St. James, BC",Not available,
Department Manager - Retail,"Mont-Tremblant, QC",13.20,HOUR
Personnel Officer,"Val-d'Or, QC",24.87,HOUR
Cook,"Guelph, ON",15.00,HOUR
Electrical Mechanic,"Laval, QC",Not available,
"Technician, Physiotherapy","Montréal, QC",23.12,HOUR
Youth Services Worker,"Québec, QC",to be discussed,
Long Haul Truck Driver,"#1003 989 Beatty StreetVancouver, BCV6Z 3C2",25.20,HOUR
Customer Service Agent,"Trois-Rivières, QC",Not available,
Steel Stud Framer - Carpentry,"Surrey, BC",28.00,HOUR
Truck Washer,"Bois-des-Filion, QC",to be discussed,
Sales Representative - Retail,"Toronto, ON","50,000",YEAR
Business Systems Analyst,"Montréal, QC",Not available,
"Fitter-welder, Structural Metal And Platework","Winnipeg, MB",17.00,HOUR
Food Service Supervisor,"325 CENTRAL PARKWAY WMississauga, ONL5B 3X9",15.00,HOUR
Shift Manager - Fast Food Restaurant,"Vancouver, BC",15.50,HOUR
Food Service Supervisor,"Vancouver, BC",16.00,HOUR
Dental Clinical Assistant,"Laval, QC",to be discussed,
Early Childhood Educator (E.C.E.),"Longueuil, QC",to be discussed,
Long Haul Truck Driver,"Abbotsford, BC",25.20,HOUR
Restaurant Cook,"117 BOWRIDGE DR NWCalgary, ABT3B 3R6",16.00,HOUR
Hotel Managing Supervisor,"Sioux Lookout, ON",24.50,HOUR
Administrative Assistant,"121 Century Crossing Spruce Grove, ABT7X 0C8",22.50,HOUR
Computer Service Technician,"Magog, QC",Not available,
Tile Installer,"Surrey, BC",25.50,HOUR
Housekeeping Attendant,"La Tuque, QC",to be discussed,
User Support Technician,"45 Savana Alley NECalgary, ABT3J 0Y7",32.69,HOUR
Mechanical Engineering Technologist,"Saint-Anselme, QC",to be discussed,
Administrative Assistant,"Rimouski, QC",19.00,HOUR
Cook,"620 6th StNew Westminster, BCV3L 3C3",14.60,HOUR
Assistant Cook,"Montréal, QC",16.00,HOUR
Food Service Supervisor,"Cornwall Plaza, 33 Ninth St E Unit #103,Cornwall, ONK6H 6R3",15.00,HOUR
Registered Building Technician,"Montréal, QC",26.72,HOUR
Construction Labourer,"Baie-Saint-Paul, QC",33.25,HOUR
Deliverer Helper,"Drummondville, QC",to be discussed,
"Cook, Ethnic Foods","7750 128 street suite 203Surrey, BCV3W 0R6",18.00,HOUR
Call Centre Agent - Technical Support,"Laval, QC",16.50,HOUR
Application Programmer,"Langley, BC",42.05,HOUR
General Labourer - Landscaping,"Queensville, ON",17.00,HOUR
Registered Practical Nurse (R.P.N.),"Sarnia, ON",24.89,HOUR
Server - Food And Beverage Services,"Qualicum Beach, BC",33.95,HOUR
Communications Adviser,"Joliette, QC",Not available,
Census Enumerator,"Salem, NB",17.83,HOUR
Chef,"Saint John, NB",16.50,HOUR
Medical Administrative Assistant,"Thornhill, ON",24.33,HOUR
Product Manager,"Brossard, QC",Not available,
Marketing Co-ordinator,"Burnaby, BC",29.00,HOUR
Food Service Supervisor,"849 Denman StreetVancouver, BCV6G 1H4",15.00,HOUR
"Truck Driver, Long Haul","Winnipeg, MB",26.00,HOUR
Customer Service Representative - Call Centre,"Rivière-du-Loup, QC",to be discussed,
Purchasing Clerk,"Rivière-du-Loup, QC",to be discussed,
Ironworker,"Surrey, BC",32.00,HOUR
Home Child Care Provider,"Calgary, AB",16.35,HOUR
Live-in Caregiver - Seniors,"Montréal, QC",14.00,HOUR
"Technician, Civil Engineering","Drummondville, QC",to be discussed,
Cashier,"Hopedale, NL",12.50,HOUR
Concrete Finisher,"Kelowna, BC",25.00,HOUR
Marketing Project Officer - Market Research,"Saint-Bruno, QC",to be discussed,
Long Haul Truck Driver,"5010 Canuck Crescent Regina, SKS4W 0G4",25.00,HOUR
Food Service Supervisor,"110 5750 Southridge Ave.Prince George, BCV2N 7A1",15.00,HOUR
Customer Support Representative - Wholesale,"Vancouver, BC","40,000",YEAR
Network Administrator,"Brandon, MB","26,000",YEAR
Business Development Officer,"Brampton, ON",Not available,
Insulator Helper,"Surrey, BC",21.00,HOUR
Mechanical Assembler,"Guelph, ON",14.90,HOUR
Dishwasher,"Montréal, QC",13.77,HOUR
Food Service Supervisor,"12620D 132 Ave NWEdmonton, ABT5L 3P9",16.00,HOUR
Carpenter Helper,"Saint-Jean-sur-Richelieu, QC",to be discussed,
Food Service Supervisor,"Surrey, BC",16.00,HOUR
"Manager, Shipping Services","Gatineau, QC",to be discussed,
Food Service Supervisor,"Conception Bay South, NL",13.50,HOUR
Nurse,"Saskatoon, SK",37.08,HOUR
Technical Writer,"Langley, BC",30.20,HOUR
Store Manager - Retail,"Calgary, AB","50,000",YEAR
Construction Labourer,"Trois-Rivières, QC",16.82,HOUR
Casualty Underwriter - Insurance,"Sept-Îles, QC",Not available,
Magazine Keeper,"Montréal, QC",to be discussed,
Electronics Manufacturing Technician,"Dorval, QC",18.00,HOUR
Hairstylist,"219 Main StreetAntigonish, NSB2G 2C2",12.55,HOUR
Drug Addiction Worker,"Notre-Dame-du-Nord, QC",19.00,HOUR
"Applicator, Chemicals - Lawn Care","Québec, QC",to be discussed,
Greenhouse Worker,"Leamington, ON",14.39,HOUR
"Labourer, Plastic Products Manufacturing","Saint-Nicolas, QC",to be discussed,
"Director, Marketing","Burnaby, BC",38.00,HOUR
Restaurant Counter Attendant,"Bécancour, QC",Not available,
Software Developer,"Montréal, QC",Not available,
Auto Care Worker,"Sainte-Agathe-des-Monts, QC",to be discussed,
Production Helper,"Baie-Comeau, QC",Not available,
Tax Paralegal,"Québec, QC","40,103.00",HOUR
"Technical Assistant, Pharmacy","Saskatoon, SK",Not available,
Truck Crane Operator,"Abbotsford, BC",33.00,HOUR
Customer Service Adviser,"Granby, QC",to be discussed,
"General Manager - Goods Production, Utilities, Transportation And Construction","Thunder Bay, ON","45,000",YEAR
Financial Analyst,"Québec, QC",to be discussed,
Software Designer,"Montréal, QC",Not available,
Web Programmer,"Québec, QC",Not available,
Home Child Care Provider,"Scarborough, ON",15.00,HOUR
Customer Service Agent,"Drummondville, QC",Not available,
Payroll Clerk,"Montréal, QC",Not available,
Ward Secretary,"Burnaby, BC",25.25,HOUR
Construction Millwrights And Industrial Mechanics,"Saskatoon, SK",NEGOTIABLE Depending on Experience,
Restaurant Cashier,"Saint-Nicolas, QC",to be discussed,
Factory Helper,"Saint-Laurent, QC",19.09,HOUR
Electrical Mechanic,"Victoriaville, QC",23.00,HOUR
Service Station Manager,"Carleton, QC",Not available,
Cook,"1701 Douglas StVictoria, BCV8W 0C1",17.00,HOUR
Product Manager,"Kingston, ON",45.00,HOUR
Veterinary Technician,"Kamloops, BC",25.00,HOUR
Customer Service Representative - Financial Services,"Stratford, ON",14.25,HOUR
Customer Service Sales Clerk,"Shawinigan, QC",to be discussed,
Nursery Worker,"Burgessville, ON",14.25,HOUR
Housekeeping Attendant,"Mirabel, QC",to be discussed,
Registered Nurses And Registered Psychiatric Nurses,"Biggar, SK",39.62,HOUR
"Worker, Lawn Mowing","Chester, NS",12.95,HOUR
Cook,"Terrace, BC",17.00,HOUR
Truck Driver,"19 Riverside DriveCharlottetown, PEC1A 4A0",15.50,HOUR
Cabinetmaker,"Bonnyville, AB","50,000",YEAR
Nanny,"North York, ON",15.00,HOUR
Personal Support Worker - Home Support,"Niagara-on-the-Lake, ON",18.30,HOUR
Roofer,"Calgary, AB",28.00,HOUR
Medical Orderly,"Terrebonne, QC",15.00,HOUR
Cook,"1147 Kensington CR NWCalgary, ABT2N 1X7",16.00,HOUR
"Attendant, Hotel Guest Services","Revelstoke, BC",17.07,HOUR
Interpretive Guide - Museum,"Québec, QC",13.36,HOUR
Child Caregiver - Private Home,"Oakville, ON",15.00,HOUR
Census Enumerator,"Carseland, AB",17.83,HOUR
System Integration Analyst,"Montréal, QC",Not available,
Cook,"Vancouver, BC",16.00,HOUR
Meat Cutter - Retail Or Wholesale,"Edmonton, AB",18.00,HOUR
Farm Hand,"Sainte-Eulalie, QC",15.00,HOUR
Liquor Store Manager,"Royston, BC",26.00,HOUR
Statistical Officers And Related Research Support Occupations,"Sturgis, SK",17.83,HOUR
"Clerk, Customer Service","Joliette, QC",16.00,HOUR
Cleaning Supervisor,"Surrey, BC",26.95,HOUR
Customer Service Agent,"based in Saint John, NB",14.25,HOUR
